#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
HIV-1_SL4            RF01382   3cgs_B               -          cm       11       20       13        4      -    5'    2 0.60   0.0    8.2       5.5 ?   HIV-1 stem-loop 4 packaging signal
ceN54                  RF01642   7qh4_W               -          cm        1       68      412      477      +    no    1 0.44   0.0   15.6       4.2 ?   Caenorhabditis snoRNA ceN54
tRNA                 RF00005   7qh4_y               -          cm        1       71        1       74      +    no    1 0.64   0.0   71.7   1.3e-16 !   tRNA
tRNA-Sec             RF01852   7qh4_y               -          cm        1       91        1       73      +    no    1 0.63   0.0   25.0    0.0016 !   Selenocysteine transfer RNA
tmRNA                RF00023   7qh4_y               -          cm      346      363       49       66      +    no    2 0.72   0.0    7.8     0.079 ?   transfer-messenger RNA
beta_tmRNA           RF01850   7qh4_y               -          cm       82      113       46       77      +    3'    4 0.75   0.0    7.4      0.68 ?   Betaproteobacteria transfer-messenger RNA
mascRNA-menRNA       RF01684   7qh4_y               -          cm        1       56        1       73      +    no    2 0.63   0.0   14.5       0.7 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
Tymo_tRNA-like       RF00233   7qh4_y               -          cm        1       84        7       74      +    no    1 0.62   0.0   12.3      0.85 ?   Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
YrlA                 RF02553   7qh4_y               -          cm        1       56       22       77      +    3'    3 0.68   0.0   13.7       1.2 ?   Y RNA-like
HPnc0260             RF02194   7qh4_y               -          cm      118      153       77       43      -    5'    2 0.74   0.0   19.4       4.9 ?   Bacterial antisense RNA HPnc0260
MIR9746              RF04095   7qh4_y               -          cm       47      110       15       77      +    5'    2 0.65   0.0   11.3       9.8 ?   MIR9746 microRNA precursor family
tRNA                 RF00005   7qh4_1               -          cm        1       71        1       74      +    no    1 0.64   0.0   71.7   1.3e-16 !   tRNA
tRNA-Sec             RF01852   7qh4_1               -          cm        1       91        1       73      +    no    1 0.63   0.0   25.0    0.0016 !   Selenocysteine transfer RNA
tmRNA                RF00023   7qh4_1               -          cm      346      363       49       66      +    no    2 0.72   0.0    7.8     0.079 ?   transfer-messenger RNA
beta_tmRNA           RF01850   7qh4_1               -          cm       82      113       46       77      +    3'    4 0.75   0.0    7.4      0.68 ?   Betaproteobacteria transfer-messenger RNA
mascRNA-menRNA       RF01684   7qh4_1               -          cm        1       56        1       73      +    no    2 0.63   0.0   14.5       0.7 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
Tymo_tRNA-like       RF00233   7qh4_1               -          cm        1       84        7       74      +    no    1 0.62   0.0   12.3      0.85 ?   Tymovirus/Pomovirus/Furovirus tRNA-like 3' UTR element
YrlA                 RF02553   7qh4_1               -          cm        1       56       22       77      +    3'    3 0.68   0.0   13.7       1.2 ?   Y RNA-like
HPnc0260             RF02194   7qh4_1               -          cm      118      153       77       43      -    5'    2 0.74   0.0   19.4       4.9 ?   Bacterial antisense RNA HPnc0260
MIR9746              RF04095   7qh4_1               -          cm       47      110       15       77      +    5'    2 0.65   0.0   11.3       9.8 ?   MIR9746 microRNA precursor family
beta_tmRNA           RF01850   2dr5_B               -          cm       86      110        8       32      +    3'    4 0.72   0.0   13.4    0.0028 !   Betaproteobacteria transfer-messenger RNA
mascRNA-menRNA       RF01684   2dr5_B               -          cm        1       56        1       31      +    no    1 0.81   0.0   21.4    0.0045 !   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
tmRNA                RF00023   2dr5_B               -          cm      347      363        8       24      +    no    2 0.71   0.0    9.8    0.0045 !   transfer-messenger RNA
cyano_tmRNA          RF01851   2dr5_B               -          cm       62       86        8       32      +    3'    4 0.72   0.0   12.9     0.016 ?   Cyanobacteria transfer-messenger RNA
tRNA-Sec             RF01852   2dr5_B               -          cm       60       91        1       31      +    5'    2 0.81   0.0   15.5       0.2 ?   Selenocysteine transfer RNA
RAGATH-36            RF03104   2dr5_B               -          cm        1       28        5       32      +    3'    3 0.75   0.0   12.4      0.33 ?   RAGATH-36 RNA
sR035                RF02760   2dr5_B               -          cm      170      200       31        1      -    no    4 0.81   0.0    8.5      0.56 ?   sR035 sRNA
SCARNA20             RF00601   2dr5_B               -          cm       17       45        2       30      +    no    4 0.79   0.0   11.4      0.85 ?   Small Cajal body specific RNA 20
P18                  RF01671   2dr5_B               -          cm      107      135        1       27      +    5'    2 0.78   0.0   11.8       1.6 ?   Pseudomonas sRNA P18
tRNA                 RF00005   2dr5_B               -          cm       40       71        1       32      +    5'    2 0.78   0.0   10.3       4.2 ?   tRNA
YrlA                 RF02553   2dr5_B               -          cm       31       55        8       32      +    3'    4 0.72   0.0    9.7       6.8 ?   Y RNA-like
PtaRNA1              RF01811   2dr5_B               -          cm       39       68        2       30      +    no    2 0.79   0.0    8.4       7.5 ?   Plasmid transferred anti-sense RNA
LSU_rRNA_eukarya     RF02543   7r81_A1              -          cm        1     3401        4     3338      +    no    1 0.51   7.7 3378.4         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   7r81_A1              -          cm      130     2987        1     3205      +    5'    2 0.51   8.7 1523.9         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   7r81_A1              -          cm      156     2925        1     3152      +    5'    2 0.51   9.2 1268.0         0 !   Bacterial large subunit ribosomal RNA
P15                  RF00627   7r81_A1              -          cm        1      119     2074     1973      -    no    1 0.60   0.0   20.2      0.37 ?   Pseudomonas sRNA P15
P37                  RF01678   7r81_A1              -          cm        1       62     2024     1964      -    no    1 0.69   0.0   17.0       7.1 ?   Pseudomonas sRNA P37
mir-486              RF00784   7r81_A1              -          cm        1       68      422      494      +    no    1 0.64   0.0   15.5       7.3 ?   microRNA mir-486
SSU_rRNA_eukarya       RF01960   7r81_A2              -          cm        1     1831        1     1796      +    no    1 0.48   0.0 1782.8         0 !   Eukaryotic small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   7r81_A2              -          cm        1     1311        1     1796      +    no    1 0.48   0.0  825.5  1.7e-253 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   7r81_A2              -          cm        1     1478        1     1795      +    no    1 0.48   0.0  646.9  2.6e-190 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_bacteria      RF00177   7r81_A2              -          cm        1     1533        1     1796      +    no    1 0.48   0.0  540.8  1.9e-170 !   Bacterial small subunit ribosomal RNA
snR79                  RF01184   7r81_A2              -         hmm       69       88     1015      996      -     -    6 0.45   0.0   13.4      0.67 ?   Small nucleolar RNA snR79
NsiR4                  RF02677   7r81_A2              -          cm        1       65     1060     1007      -    no    1 0.39   0.0   15.3       2.9 ?   Nitrogen stress-induced RNA 4
5S_rRNA              RF00001   7r81_B1              -          cm        1      120        1      120      +    no    1 0.54   0.0   91.7   3.5e-21 !   5S ribosomal RNA
5_8S_rRNA            RF00002   7r81_C1              -          cm        1      154        2      155      +    no    1 0.47   0.0  169.0   2.2e-46 !   5.8S ribosomal RNA
LSU_rRNA_bacteria    RF02541   7r81_C1              -          cm       26      168       15      156      +    3'    4 0.48   0.0   14.7     0.007 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   7r81_C1              -          cm       27      162       15      152      +    3'    4 0.49   0.0    9.8       0.4 ?   Archaeal large subunit ribosomal RNA
ceN109               RF01613   7r81_C1              -          cm        1       67      117       54      -    no    1 0.41   0.0   13.2       2.1 ?   Nematode snoRNA ceN109
snoU2_19             RF00494   7r81_C1              -          cm        1       80       32       88      +    no    1 0.42   0.0   15.3       5.4 ?   Small nucleolar RNA U2-19
tRNA                 RF00005   7r81_t1              -          cm        1       71        1       73      +    no    1 0.59   0.0   60.8   1.2e-13 !   tRNA
HIV_FS2              RF01835   7r81_t1              -          cm       31       45        1       15      +    5'    2 0.60   0.0   14.3      0.84 ?   ribosomal frameshift site
mascRNA-menRNA       RF01684   7r81_t1              -          cm       33       49       49       65      +    no    1 0.59   0.0   11.9       3.3 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
group-II-D1D4-4      RF02003   7r81_t1              -          cm        1       30       47       76      +    3'    3 0.60   0.0    7.0       8.8 ?   Group II catalytic intron D1-D4-4
YrlA                 RF02553   7r81_t1              -          cm        1       59       21       75      +    3'    3 0.60   0.0   10.5       9.8 ?   Y RNA-like
tRNA                 RF00005   7r81_u1              -          cm        1       71        1       73      +    no    1 0.59   0.0   60.8   1.2e-13 !   tRNA
HIV_FS2              RF01835   7r81_u1              -          cm       31       45        1       15      +    5'    2 0.60   0.0   14.3      0.84 ?   ribosomal frameshift site
mascRNA-menRNA       RF01684   7r81_u1              -          cm       33       49       49       65      +    no    1 0.59   0.0   11.9       3.3 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
group-II-D1D4-4      RF02003   7r81_u1              -          cm        1       30       47       76      +    3'    3 0.60   0.0    7.0       8.8 ?   Group II catalytic intron D1-D4-4
YrlA                 RF02553   7r81_u1              -          cm        1       59       21       75      +    3'    3 0.60   0.0   10.5       9.8 ?   Y RNA-like
SSU_rRNA_bacteria      RF00177   4v6g_AA              -          cm        1     1533        2     1517      +    no    1 0.64  90.8 1496.6         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   4v6g_AA              -          cm        1     1478        4     1515      +    no    1 0.64  92.4 1032.3         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   4v6g_AA              -          cm        1     1311        4     1512      +    no    1 0.64  92.8  677.7  1.2e-207 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   4v6g_AA              -          cm        1     1831        4     1512      +    no    1 0.64  92.8  638.1  7.7e-192 !   Eukaryotic small subunit ribosomal RNA
BMV3_UPD-PK1           RF01108   4v6g_AA              -          cm        1       26     1449     1474      +    no    1 0.69   0.0   19.5      0.54 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
PyrR205                RF02803   4v6g_AA              -          cm        1       61      207      156      -    no    1 0.63   0.0   13.9       8.7 ?   Pyrobaculum sRNA 205
SSU_rRNA_bacteria      RF00177   4v6g_CA              -          cm        1     1533        2     1517      +    no    1 0.64  90.8 1496.6         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_archaea       RF01959   4v6g_CA              -          cm        1     1478        4     1515      +    no    1 0.64  92.4 1032.3         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   4v6g_CA              -          cm        1     1311        4     1512      +    no    1 0.64  92.8  677.7  1.2e-207 !   Microsporidia small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   4v6g_CA              -          cm        1     1831        4     1512      +    no    1 0.64  92.8  638.1  7.7e-192 !   Eukaryotic small subunit ribosomal RNA
BMV3_UPD-PK1           RF01108   4v6g_CA              -          cm        1       26     1449     1474      +    no    1 0.69   0.0   19.5      0.54 ?   Pseudoknot of upstream pseudoknot domain (UPD) of the 3'UTR
PyrR205                RF02803   4v6g_CA              -          cm        1       61      207      156      -    no    1 0.63   0.0   13.9       8.7 ?   Pyrobaculum sRNA 205
tRNA                 RF00005   4v6g_CB              -          cm        1       71        1       74      +    no    1 0.68   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   4v6g_CB              -          cm        1       91        2       72      +    no    1 0.69   0.0   25.3    0.0013 !   Selenocysteine transfer RNA
tmRNA                RF00023   4v6g_CB              -          cm       22      374        2       77      +    5'    2 0.67   0.0    7.8     0.079 ?   transfer-messenger RNA
Bp1_738              RF02422   4v6g_CB              -          cm       59      136        2       77      + 5'&3'    4 0.67   0.0   10.1       2.3 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
beta_tmRNA           RF01850   4v6g_CB              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
S774                 RF02896   4v6g_CB              -          cm       76       95        1       20      +    5'    2 0.85   0.0   16.0       4.2 ?   Staphylococcus sRNA 774
tRNA                 RF00005   4v6g_CD              -          cm        1       71        1       74      +    no    1 0.68   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   4v6g_CD              -          cm        1       91        2       72      +    no    1 0.69   0.0   25.3    0.0013 !   Selenocysteine transfer RNA
tmRNA                RF00023   4v6g_CD              -          cm       22      374        2       77      +    5'    2 0.67   0.0    7.8     0.079 ?   transfer-messenger RNA
Bp1_738              RF02422   4v6g_CD              -          cm       59      136        2       77      + 5'&3'    4 0.67   0.0   10.1       2.3 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
beta_tmRNA           RF01850   4v6g_CD              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
S774                 RF02896   4v6g_CD              -          cm       76       95        1       20      +    5'    2 0.85   0.0   16.0       4.2 ?   Staphylococcus sRNA 774
tRNA                 RF00005   4v6g_AC              -          cm        1       71        1       74      +    no    1 0.68   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   4v6g_AC              -          cm        1       91        2       72      +    no    1 0.69   0.0   25.3    0.0013 !   Selenocysteine transfer RNA
tmRNA                RF00023   4v6g_AC              -          cm       22      374        2       77      +    5'    2 0.67   0.0    7.8     0.079 ?   transfer-messenger RNA
Bp1_738              RF02422   4v6g_AC              -          cm       59      136        2       77      + 5'&3'    4 0.67   0.0   10.1       2.3 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
beta_tmRNA           RF01850   4v6g_AC              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
S774                 RF02896   4v6g_AC              -          cm       76       95        1       20      +    5'    2 0.85   0.0   16.0       4.2 ?   Staphylococcus sRNA 774
tRNA                 RF00005   4v6g_CC              -          cm        1       71        1       74      +    no    1 0.68   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   4v6g_CC              -          cm        1       91        2       72      +    no    1 0.69   0.0   25.3    0.0013 !   Selenocysteine transfer RNA
tmRNA                RF00023   4v6g_CC              -          cm       22      374        2       77      +    5'    2 0.67   0.0    7.8     0.079 ?   transfer-messenger RNA
Bp1_738              RF02422   4v6g_CC              -          cm       59      136        2       77      + 5'&3'    4 0.67   0.0   10.1       2.3 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
beta_tmRNA           RF01850   4v6g_CC              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
S774                 RF02896   4v6g_CC              -          cm       76       95        1       20      +    5'    2 0.85   0.0   16.0       4.2 ?   Staphylococcus sRNA 774
tRNA                 RF00005   4v6g_AD              -          cm        1       71        1       74      +    no    1 0.68   0.0   61.4   8.6e-14 !   tRNA
tRNA-Sec             RF01852   4v6g_AD              -          cm        1       91        2       72      +    no    1 0.69   0.0   25.3    0.0013 !   Selenocysteine transfer RNA
tmRNA                RF00023   4v6g_AD              -          cm       22      374        2       77      +    5'    2 0.67   0.0    7.8     0.079 ?   transfer-messenger RNA
Bp1_738              RF02422   4v6g_AD              -          cm       59      136        2       77      + 5'&3'    4 0.67   0.0   10.1       2.3 ?   Burkholderia sRNA Bp1_Cand738_SIPHT
beta_tmRNA           RF01850   4v6g_AD              -          cm       82      113       46       77      +    3'    4 0.66   0.0    5.6       2.9 ?   Betaproteobacteria transfer-messenger RNA
S774                 RF02896   4v6g_AD              -          cm       76       95        1       20      +    5'    2 0.85   0.0   16.0       4.2 ?   Staphylococcus sRNA 774
DnaX                 RF00382   4v6g_C1              -          cm        1       25        1       25      +    3'    3 0.32   0.4    8.1       2.8 ?   DnaX ribosomal frameshifting element
DnaX                 RF00382   4v6g_A1              -          cm        1       25        1       25      +    3'    3 0.32   0.4    8.1       2.8 ?   DnaX ribosomal frameshifting element
LSU_rRNA_bacteria    RF02541   4v6g_DA              -          cm        1     2925        3     2898      +    no    1 0.64 203.6 2704.6         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   4v6g_DA              -          cm        1     2987        1     2898      +    no    1 0.64 204.0 1923.2         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   4v6g_DA              -          cm        1     3401      148     2894      +    no    1 0.63 186.9 1153.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   4v6g_DA              -          cm        1      154        8      161      +    no    1 0.69   3.8   52.3   1.3e-11 !   5.8S ribosomal RNA
RF_site5             RF01093   4v6g_DA              -          cm        1       60     1734     1791      +    no    1 0.69   0.0   22.8      0.63 ?   Ma3 gene ribosomal frameshift signal
CRISPR-DR12          RF01325   4v6g_DA              -          cm        1       30     2695     2723      +    no    1 0.66   0.0   20.0       0.8 ?   CRISPR RNA direct repeat element
Hrs13                RF02631   4v6g_DA              -          cm        1       82     2101     2028      -    no    1 0.58   0.0   16.5      0.98 ?   Hfq-regulated sRNA 13
CRISPR-DR29          RF01340   4v6g_DA              -          cm        1       37      148      112      -    no    1 0.78   0.0   18.1       2.5 ?   CRISPR RNA direct repeat element
Streptomyces-metK    RF03063   4v6g_DA              -          cm        1      117     2643     2540      -    no    1 0.62   0.0   15.2       9.5 ?   Streptomyces-metK RNA
LSU_rRNA_bacteria    RF02541   4v6g_BA              -          cm        1     2925        3     2898      +    no    1 0.64 203.6 2704.6         0 !   Bacterial large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   4v6g_BA              -          cm        1     2987        1     2898      +    no    1 0.64 204.0 1923.2         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_eukarya     RF02543   4v6g_BA              -          cm        1     3401      148     2894      +    no    1 0.63 186.9 1153.1         0 !   Eukaryotic large subunit ribosomal RNA
5_8S_rRNA            RF00002   4v6g_BA              -          cm        1      154        8      161      +    no    1 0.69   3.8   52.3   1.3e-11 !   5.8S ribosomal RNA
RF_site5             RF01093   4v6g_BA              -          cm        1       60     1734     1791      +    no    1 0.69   0.0   22.8      0.63 ?   Ma3 gene ribosomal frameshift signal
CRISPR-DR12          RF01325   4v6g_BA              -          cm        1       30     2695     2723      +    no    1 0.66   0.0   20.0       0.8 ?   CRISPR RNA direct repeat element
Hrs13                RF02631   4v6g_BA              -          cm        1       82     2101     2028      -    no    1 0.58   0.0   16.5      0.98 ?   Hfq-regulated sRNA 13
CRISPR-DR29          RF01340   4v6g_BA              -          cm        1       37      148      112      -    no    1 0.78   0.0   18.1       2.5 ?   CRISPR RNA direct repeat element
Streptomyces-metK    RF03063   4v6g_BA              -          cm        1      117     2643     2540      -    no    1 0.62   0.0   15.2       9.5 ?   Streptomyces-metK RNA
5S_rRNA              RF00001   4v6g_BB              -          cm        1      120        5      121      +    no    1 0.69   0.3  112.3   1.2e-26 !   5S ribosomal RNA
IRES_c-myc           RF00216   4v6g_BB              -          cm        1       65       58      122      +    3'    3 0.72   0.3    7.0       2.7 ?   c-myc internal ribosome entry site (IRES)
rox1                 RF01667   4v6g_BB              -          cm        1       59       54       36      -    no    1 0.53   0.0   11.8         8 ?   Drosophila rox1 ncRNA
5S_rRNA              RF00001   4v6g_DB              -          cm        1      120        5      121      +    no    1 0.69   0.3  112.3   1.2e-26 !   5S ribosomal RNA
IRES_c-myc           RF00216   4v6g_DB              -          cm        1       65       58      122      +    3'    3 0.72   0.3    7.0       2.7 ?   c-myc internal ribosome entry site (IRES)
rox1                 RF01667   4v6g_DB              -          cm        1       59       54       36      -    no    1 0.53   0.0   11.8         8 ?   Drosophila rox1 ncRNA
S_pombe_snR99        RF01452   5fj1_H               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_B               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_E               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_F               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_G               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_D               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_A               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
S_pombe_snR99        RF01452   5fj1_C               -          cm       75       97        2       24      +    no    4 0.65   0.0    7.2       3.4 ?   small nucleolar RNA snR99
LSU_rRNA_eukarya     RF02543   8v87_1               -          cm        1     3401        4     3396      +    no    1 0.48  29.5 3401.6         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   8v87_1               -          cm      130     2987        1     3198      +    5'    2 0.48  25.4 1506.3         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   8v87_1               -          cm      156     2925        1     3167      +    5'    2 0.48  24.3 1254.3         0 !   Bacterial large subunit ribosomal RNA
P10                  RF01668   8v87_1               -          cm        1       72     1392     1330      -    no    1 0.56   0.0   19.8      0.16 ?   Pseudomonas sRNA P10
5_8S_rRNA            RF00002   8v87_2               -          cm        1      154        2      155      +    no    1 0.47   0.0  175.4   3.2e-48 !   5.8S ribosomal RNA
LSU_rRNA_archaea     RF02540   8v87_2               -          cm       27      171       15      146      +    3'    4 0.48   0.0    8.7      0.88 ?   Archaeal large subunit ribosomal RNA
astro_FSE            RF01833   8v87_2               -          cm        1       26      137      112      -    no    1 0.65   0.0   10.1       2.8 ?   ribosomal frameshift site
snoU2_19             RF00494   8v87_2               -          cm        1       80       32       88      +    no    1 0.44   0.0   15.3       5.3 ?   Small nucleolar RNA U2-19
mir-92_2             RF03554   8v87_2               -          cm       15       70       62      117      +    no    1 0.43   0.0   13.0       7.3 ?   mir-92_2 microRNA precursor family
ceN109               RF01613   8v87_6               -          cm        1       67      128      182      +    no    1 0.38   0.0   18.9     0.059 ?   Nematode snoRNA ceN109
SSU_rRNA_archaea       RF01959   5jbh_2               -          cm        1     1478       13     1508      +    no    1 0.66 116.8 1495.2         0 !   Archaeal small subunit ribosomal RNA
SSU_rRNA_bacteria      RF00177   5jbh_2               -          cm        1     1533        8     1510      +    no    1 0.66 113.1 1118.0         0 !   Bacterial small subunit ribosomal RNA
SSU_rRNA_eukarya       RF01960   5jbh_2               -          cm        1     1831       13     1505      +    no    1 0.66 117.1  826.5  2.1e-249 !   Eukaryotic small subunit ribosomal RNA
SSU_rRNA_microsporidia RF02542   5jbh_2               -          cm        1     1311       13     1505      +    no    1 0.66 117.1  785.5  4.1e-241 !   Microsporidia small subunit ribosomal RNA
psRNA2                 RF02349   5jbh_2               -          cm        1      201      408      249      -    no    1 0.68   6.3   14.4      0.99 ?   Proteobacterial sRNA psRNA2
mir-1001               RF03675   5jbh_2               -          cm        1       90      552      619      +    no    1 0.68   0.0   19.9       1.1 ?   mir-1001 microRNA precursor family
fiv_FSE                RF01834   5jbh_2               -          cm        2       17     1299     1284      -    no    1 0.75   0.0   16.3       1.7 ?   ribosomal frameshift site
EBv-sisRNA-2           RF02598   5jbh_2               -          cm        1       76      179      207      +    no    1 0.72   0.0   21.8       2.3 ?   Epstein-Barr virus stable intronic sequence RNA 2
RAGATH-12              RF03149   5jbh_2               -          cm        1       78      872      949      +    no    1 0.54   0.0   16.6       2.5 ?   RAGATH-12 RNA
mir-3130               RF03736   5jbh_2               -          cm        1       75     1395     1446      +    no    1 0.69   0.0   17.3       4.5 ?   mir-3130 microRNA precursor family
mir-1182               RF03179   5jbh_2               -          cm        1       96     1135     1079      -    no    1 0.75   0.1   16.9       7.4 ?   mir-1182 microRNA precursor family
CRISPR-DR53          RF01366   5jbh_5               -          cm       20       37        2       19      +    5'    2 0.28   0.0    9.8       9.1 ?   CRISPR RNA direct repeat element
tRNA                 RF00005   5jbh_4               -          cm        2       71        1       73      +    5'    2 0.64   0.0   58.7   4.8e-13 !   tRNA
tRNA-Sec             RF01852   5jbh_4               -          cm        1       91        1       71      +    no    1 0.66   0.0   26.5   0.00063 !   Selenocysteine transfer RNA
tmRNA                RF00023   5jbh_4               -          cm      346      363       48       65      +    no    2 0.61   0.0    5.7      0.56 ?   transfer-messenger RNA
YrlA                 RF02553   5jbh_4               -          cm       57      114        1       59      +    5'    2 0.61   0.0   12.7       2.2 ?   Y RNA-like
beta_tmRNA           RF01850   5jbh_4               -          cm       85      113       48       76      +    3'    4 0.66   0.0    5.7       2.6 ?   Betaproteobacteria transfer-messenger RNA
tRNA                 RF00005   5lzz_2               -          cm        1       71        1       73      +    no    1 0.56   0.0   55.9   2.7e-12 !   tRNA
tRNA                 RF00005   5lzz_3               -          cm        1       71        1       72      +    no    1 0.56   0.0   70.0   3.5e-16 !   tRNA
tRNA-Sec             RF01852   5lzz_3               -          cm        1       91        1       71      +    no    1 0.55   0.0   26.3   0.00071 !   Selenocysteine transfer RNA
mascRNA-menRNA       RF01684   5lzz_3               -          cm        1       56       10       71      +    no    1 0.53   0.0   19.1     0.042 ?   MALAT1-associated small cytoplasmic RNA/MEN beta RNA
CLRN1-AS1            RF02089   5lzz_3               -         hmm       30       60       41       11      -     -    6 0.42   0.0   11.3     0.089 ?   CLRN1 antisense RNA 1 conserved region
tmRNA                RF00023   5lzz_3               -          cm      346      363       47       64      +    no    2 0.61   0.0    6.8       0.2 ?   transfer-messenger RNA
LSU_rRNA_eukarya     RF02543   5lzz_5               -          cm        1     3401        3     3543      +    no    1 0.62 163.8 2779.4         0 !   Eukaryotic large subunit ribosomal RNA
LSU_rRNA_archaea     RF02540   5lzz_5               -          cm      130     2987        1     3326      +    5'    2 0.62 150.6 1195.9         0 !   Archaeal large subunit ribosomal RNA
LSU_rRNA_bacteria    RF02541   5lzz_5               -          cm      159     2925        1     3326      +    5'    2 0.62 150.6  966.6         0 !   Bacterial large subunit ribosomal RNA
Gl_U1                RF02491   5lzz_5               -          cm       41       72      488      519      +    no    1 0.84   0.2   17.7      0.65 ?   Giardia U1 spliceosomal RNA
MIAT_exon1           RF01874   5lzz_5               -         hmm       36      134     3423     3319      -     -    6 0.77   1.2   13.7       0.7 ?   Myocardial infarction associated transcript exon 1
snoU6-53             RF00377   5lzz_5               -          cm        1      110     3132     3172      +    no    1 0.44   0.0   16.6       4.4 ?   Small nucleolar RNA U6-53/MBII-28
SECIS_3              RF01989   5lzz_5               -          cm        1       59      899      950      +    no    1 0.63   0.0   16.4       5.9 ?   Selenocysteine insertion sequence 3
PhotoRC-I            RF01716   5lzz_5               -          cm        4       21     2049     2033      -    no    1 0.76   0.0   13.2       6.4 ?   PhotoRC-I RNA
SNORD38              RF00212   5lzz_5               -          cm        1       70     2379     2438      +    no    1 0.45   0.0   17.5       8.4 ?   Small nucleolar RNA SNORD38
5S_rRNA              RF00001   5lzz_7               -          cm        1      120        1      119      +    no    1 0.61   0.0  114.6     3e-27 !   5S ribosomal RNA
Ocean-VII            RF03092   5lzz_7               -          cm        1       41       55        1      -    no    1 0.58   0.0   11.6      0.34 ?   Ocean-VII RNA
5_8S_rRNA            RF00002   5lzz_8               -          cm        1      154        2      154      +    no    1 0.58   0.0  143.3   5.1e-39 !   5.8S ribosomal RNA
LSU_rRNA_archaea     RF02540   5lzz_8               -          cm       23      171       11      156      +    3'    4 0.58   0.0   28.4   4.6e-07 !   Archaeal large subunit ribosomal RNA
